|h2e2
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4,c6c5,b0a2,g9e7,b2b6|a6a5
c3c4,b7c7,h0g2|c6c5
c3c4,b7c7,h0g2,c6c5|b0a2
c3c4,b7c7,h0g2,c6c5,h2i2|c5c4
c3c4,b7c7,h0g2,c6c5,h2i2,c5c4|b0a2
c3c4,b7c7,h0g2,c6c5,h2i2,c5c4,b0a2|g9e7
c3c4,b7c7,h0g2,c6c5,h2i2,c5c4,b0a2,g9e7|i0h0
c3c4,b7c7,h0g2,c6c5,h2i2,c5c4,b0a2,g9e7,i0h0|b9a7
c3c4,b7c7,h0g2,c6c5,h2i2,c5c4,b0a2,g9e7,i0h0,b9a7|h0h4
c3c4,b7c7,h0g2,c6c5,h2i2,c5c4,b0a2,g9e7,i0h0,b9a7,h0h4|a7c6
g0e2,b7d7|c3c4
g0e2,b7d7,c3c4|b9a7
g0e2,b7d7,c3c4,b9a7|b0c2
g0e2,b7d7,c3c4,b9a7,b0c2|a9b9
g0e2,b7d7,c3c4,b9a7,b0c2,a9b9|a0b0
g0e2,b7d7,c3c4,b9a7,b0c2,a9b9,a0b0|b9b5
g0e2,b7d7,c3c4,b9a7,b0c2,a9b9,a0b0,b9b5|b2a2
g0e2,b7d7,c3c4,b9a7,b0c2,a9b9,a0b0,b9b5,b2a2|b5d5
g0e2,b7d7,c3c4,b9a7,b0c2,a9b9,a0b0,b9b5,b2a2,b5f5|g3g4
g0e2,b7d7,c3c4,b9a7,b0c2,a9b9,a0b0,b9b5,b2a2,b5f5,h0g2|g6g5
g3g4,b9c7,c3c4|b7a7
g3g4,b9c7,c3c4,h7g7|b0c2
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,b7e7|g3g4
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,b7e7,g3g4|b9c7
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,b7e7,g3g4,b9c7|a0b0
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,b7e7,g3g4,b9c7,a0b0|a9a8
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b2d2|c6c5
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b2d2,i8d8|d0e1
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b2d2,i8d8,d0e1|b9a7
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b2d2,i8d8,d0e1,b9a7|i0h0
b0c2,c6c5,h2e2|h9g7
b0c2,c6c5,h2e2,b9c7|h0g2
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,b9c7|c3c4
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,b9c7,c3c4|a9a8
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,b9c7,c3c4,a9a8|b2a2
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,b9c7,c3c4,a9a8,b2a2|b7b8
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,i0h0,c5c4,b0a2,i9i8,a0b0|i8d8
c3c4,b7c7,h2e2,c9e7,e2e6|d9e8
c3c4,b7c7,h2e2,c9e7,e2e6,d9e8|c0e2
c3c4,b7c7,h2e2,c9e7,e2e6,d9e8,c0e2|b9d8
c3c4,b7c7,h2e2,c9e7,e2e6,d9e8,c0e2,b9d8|e6e5
c3c4,b7c7,h2e2,c9e7,e2e6,d9e8,c0e2,b9d8,e6e5|a9b9
c3c4,b7c7,h2e2,c9e7,e2e6,d9e8,c0e2,b9d8,e6e5,i9i8|h0g2
c3c4,b7c7,h2e2,c9e7,e2e6,d9e8,c0e2,b9d8,e6e5,i9i8,h0g2|i8f8
c3c4,c9e7,b2d2,h9i7|b0c2
c3c4,c9e7,b2d2,h9i7,b0c2|i9i8
c3c4,c9e7,b2d2,h9i7,b0c2,i9i8|a0b0
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,b0a2,c5c4,i0h0,i9i8|a0b0
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,b0a2,c5c4,i0h0,i9i8,d0e1|i8d8
g3g4,h7g7|b2e2
g3g4,h7g7,b2e2|g9e7
g3g4,h7g7,b2e2,g9e7|b0c2
g3g4,h7g7,b2e2,g9e7,b0c2|g6g5
g3g4,h7g7,b2e2,g9e7,b0c2,g6g5|a0b0
g3g4,h7g7,b2e2,g9e7,b0c2,g6g5,a0b0|g5g4
g3g4,h7g7,b2e2,g9e7,b0c2,g6g5,a0b0,g5g4|h0i2
g3g4,h7g7,b2e2,g9e7,b0c2,g6g5,a0b0,g5g4,h0i2|a9a8
g3g4,h7g7,b2e2,g9e7,b0c2,g6g5,a0b0,g5g4,h0i2,a9a8|i0h0
